# File S16. Family Enterobacteriaceae screened as one set: 456 genomes, 37 LPSN genera (443 genomes in 48 GTDB R232 genera).
# Settings as in the survey (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive). Predictions recorded before the run.
# P1 Shigella >= 95% AAI to E. coli O157:H7 Sakai (GCF_000008865.2): HELD. boydii 98.44, dysenteriae 98.20, sonnei 97.93, flexneri 2a 97.74.
# P2 Leclercia/Lelliottia at least 92.97% AAI to nearest Enterobacter: FAILED. 88.75-90.74 (L. jeotgali GCF_977068015.1: 55.11).
# P3 one bin at 65%: FAILED. Three bins: 451 genomes; 4 Arsenophonus; Lelliottia jeotgali GCF_977068015.1 alone.
# ARI of the LPSN genus names against GTDB genera: 0.907.
# Below: for the 443 GTDB-classified genomes only, the number of bins and the adjusted Rand index against GTDB genus at each threshold, read from the complete-linkage merge order. (On all 456 genomes the 65% cut gives 3 bins, as reported above.)
threshold	bins	ari_vs_gtdb_genus	exact
50.0	1	0.0000	0
50.5	1	0.0000	0
51.0	1	0.0000	0
51.5	1	0.0000	0
52.0	1	0.0000	0
52.5	1	0.0000	0
53.0	1	0.0000	0
53.5	1	0.0000	0
54.0	1	0.0000	0
54.5	1	0.0000	0
55.0	1	0.0000	0
55.5	1	0.0000	0
56.0	1	0.0000	0
56.5	1	0.0000	0
57.0	1	0.0000	0
57.5	1	0.0000	0
58.0	1	0.0000	0
58.5	1	0.0000	0
59.0	1	0.0000	0
59.5	1	0.0000	0
60.0	1	0.0000	0
60.5	1	0.0000	0
61.0	1	0.0000	0
61.5	1	0.0000	0
62.0	2	0.0015	0
62.5	2	0.0015	0
63.0	2	0.0015	0
63.5	2	0.0015	0
64.0	2	0.0015	0
64.5	2	0.0015	0
65.0	2	0.0015	0
65.5	2	0.0015	0
66.0	3	0.0398	0
66.5	4	0.0476	0
67.0	4	0.0476	0
67.5	4	0.0476	0
68.0	5	0.0511	0
68.5	5	0.0511	0
69.0	5	0.0511	0
69.5	6	0.1515	0
70.0	7	0.1514	0
70.5	8	0.1547	0
71.0	8	0.1547	0
71.5	10	0.2359	0
72.0	13	0.2592	0
72.5	14	0.3204	0
73.0	15	0.3394	0
73.5	15	0.3394	0
74.0	15	0.3394	0
74.5	15	0.3394	0
75.0	17	0.3403	0
75.5	18	0.3403	0
76.0	18	0.3403	0
76.5	19	0.3591	0
77.0	21	0.3953	0
77.5	21	0.3953	0
78.0	24	0.5224	0
78.5	25	0.5252	0
79.0	27	0.5123	0
79.5	27	0.5123	0
80.0	29	0.5205	0
80.5	30	0.5165	0
81.0	33	0.6338	0
81.5	35	0.6423	0
82.0	37	0.6319	0
82.5	41	0.6744	0
83.0	46	0.6925	0
83.5	50	0.8087	0
84.0	54	0.8260	0
84.5	59	0.7768	0
85.0	63	0.7774	0
85.5	69	0.7658	0
86.0	72	0.7599	0
86.5	79	0.7541	0
87.0	84	0.7736	0
87.5	92	0.7654	0
88.0	98	0.7212	0
88.5	107	0.6871	0
89.0	120	0.6085	0
89.5	126	0.5823	0
90.0	137	0.5696	0
90.5	146	0.5481	0
91.0	156	0.5193	0
91.5	164	0.5008	0
92.0	178	0.4709	0
92.5	187	0.4498	0
93.0	204	0.3149	0
93.5	226	0.2548	0
94.0	243	0.2268	0
94.5	263	0.2046	0
95.0	275	0.1685	0
