genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Methanobacterium	Archaea	21	476	4	62.43	67.40	2	6	17	4	0.8411	both split	15
Methanobrevibacter	Archaea	16	298	5	59.06	65.22	0	8	16	0	0.8532	both split	26
Archaeoglobus	Archaea	5	367	4	61.04	64.44	0	4	5	0	1.0	both split	20
Methanococcus	Archaea	5	453	2	62.35	70.00	0	2	4	1	1.0	both split	25
Methanospirillum	Archaea	4	1053	2	64.08	70.94	0	1	4	0	0.0	RaGCAn split, GTDB one genus	5
Streptomyces	Bacteria	831	0	5	59.08	74.72	155	6	776	55	0.0356	both split	48075
Pseudomonas	Bacteria	391	226	2	63.66	77.73	213	12	362	29	0.2325	both split	6926
Paenibacillus	Bacteria	333	106	29	58.23	63.56	33	37	319	14	0.9341	both split	5677
Flavobacterium	Bacteria	327	248	4	62.34	72.88	24	1	319	8	0.0	RaGCAn split, GTDB one genus	2383
Sphingomonas	Bacteria	189	111	8	59.72	66.67	2	18	182	7	0.9849	both split	770
Microbacterium	Bacteria	185	169	3	61.38	70.73	3	1	172	13	0.0	RaGCAn split, GTDB one genus	862
Corynebacterium	Bacteria	183	133	16	59.30	64.90	23	1	182	1	0.0	RaGCAn split, GTDB one genus	466
Vibrio	Bacteria	179	246	2	63.11	73.32	55	2	171	8	1.0	both split	1090
Nocardioides	Bacteria	177	47	6	60.28	68.42	0	6	161	16	0.2195	both split	970
Clostridium	Bacteria	164	10	46	45.72	58.01	8	45	157	7	0.5197	both split	708
Streptococcus	Bacteria	158	245	2	63.59	70.68	121	1	141	17	0.0	RaGCAn split, GTDB one genus	317
Bacillus	Bacteria	132	150	26	53.82	64.11	59	41	118	14	0.9676	both split	578
Micromonospora	Bacteria	129	14	2	43.21	80.28	43	6	124	5	0.271	both split	1098
Bifidobacterium	Bacteria	109	137	2	64.54	71.49	12	3	105	4	0.7302	both split	194
Pedobacter	Bacteria	94	434	3	61.22	71.06	2	3	92	2	1.0	both split	390
Deinococcus	Bacteria	91	181	5	55.15	70.33	12	4	90	1	0.4073	both split	271
Arthrobacter	Bacteria	87	405	4	62.94	68.71	3	13	79	8	0.5625	both split	247
Mucilaginibacter	Bacteria	85	187	2	61.59	70.47	5	2	81	4	-0.0193	both split	340
Rhizobium	Bacteria	75	2	3	51.56	76.51	25	9	70	5	0.0	RaGCAn one bin, GTDB splits	505
Leptospira	Bacteria	73	431	3	54.95	66.12	17	3	73	0	1.0	both split	174
Enterococcus	Bacteria	71	242	5	60.87	68.28	7	13	63	8	0.5369	both split	137
Novosphingobium	Bacteria	69	492	3	63.77	69.34	1	1	69	0	0.0	RaGCAn split, GTDB one genus	182
Legionella	Bacteria	68	235	5	60.73	69.12	1	6	66	2	0.9923	both split	106
Actinomadura	Bacteria	67	677	2	61.27	74.87	1	5	66	1	0.3775	both split	560
Helicobacter	Bacteria	60	81	12	53.74	59.67	0	10	58	2	0.8857	both split	35
Gordonia	Bacteria	59	560	2	64.36	71.19	4	2	59	0	1.0	both split	177
Bacteroides	Bacteria	58	10	3	42.10	74.61	7	3	54	4	0.4031	both split	160
Pseudoalteromonas	Bacteria	57	898	3	62.66	72.06	16	1	56	1	0.0	RaGCAn split, GTDB one genus	143
Campylobacter	Bacteria	55	118	11	54.64	63.30	1	6	55	0	0.8159	both split	34
Massilia	Bacteria	53	7	2	54.12	74.56	6	4	51	2	-0.0943	both split	180
Nocardiopsis	Bacteria	52	6	2	41.39	71.96	6	5	45	7	0.0	RaGCAn one bin, GTDB splits	208
Sphingobium	Bacteria	51	528	3	62.77	74.66	1	2	49	2	0.3063	both split	116
Mycoplasma	Bacteria	50	2	24	40.85	51.21	1	11	48	2	0.4261	both split	19
Rhodococcus	Bacteria	50	533	2	62.08	72.10	13	6	43	7	0.0304	both split	248
Lactobacillus	Bacteria	49	123	5	53.35	69.21	7	3	48	1	0.0948	both split	39
Pseudonocardia	Bacteria	49	575	2	64.24	70.54	1	1	45	4	0.0	RaGCAn split, GTDB one genus	267
Chitinophaga	Bacteria	48	779	3	64.01	68.82	0	1	48	0	0.0	RaGCAn split, GTDB one genus	292
Actinomyces	Bacteria	45	96	6	54.34	67.99	0	4	45	0	0.8302	both split	44
Mycoplasmopsis	Bacteria	44	20	22	50.32	58.70	0	4	43	1	0.0179	both split	13
Devosia	Bacteria	42	470	2	64.09	73.98	0	3	40	2	0.9928	both split	100
Brevibacterium	Bacteria	40	373	5	61.87	69.86	1	1	40	0	0.0	RaGCAn split, GTDB one genus	56
Vreelandella	Bacteria	39	231	2	55.19	79.81	7	2	36	3	1.0	both split	64
Lysobacter	Bacteria	38	468	2	64.60	73.42	0	11	30	8	0.023	both split	49
Cohnella	Bacteria	37	513	2	63.08	69.51	1	1	37	0	0.0	RaGCAn split, GTDB one genus	151
Lacticaseibacillus	Bacteria	37	365	3	61.53	67.99	15	1	34	3	0.0	RaGCAn split, GTDB one genus	53
Limosilactobacillus	Bacteria	37	317	3	62.16	71.73	9	1	35	2	0.0	RaGCAn split, GTDB one genus	40
Prevotella	Bacteria	36	210	4	59.10	69.87	1	2	31	5	0.1985	both split	28
Oceanobacillus	Bacteria	35	607	3	62.89	68.85	2	4	35	0	-0.126	both split	85
Virgibacillus	Bacteria	35	573	2	62.91	69.58	1	15	31	4	0.0108	both split	51
