genus	n	not_in_gtdb	bins	gtdb_genera	ari	identical
Acetivibrio	6	1	3	4	0.5946	0
Acetobacter	34	3	1	1	nan	1
Acetobacterium	8	0	1	1	nan	1
Acholeplasma	7	0	3	2	0.2759	0
Achromobacter	20	5	1	2	0.0	0
Acidaminococcus	6	0	1	1	nan	1
Acidianus	6	0	1	2	0.0	0
Acidicapsa	3	1	1	1	nan	1
Acidihalobacter	4	0	1	2	0.0	0
Acidiphilium	5	0	1	1	nan	1
Acidipropionibacterium	5	0	1	2	0.0	0
Acidisoma	3	1	1	1	nan	1
Acidithiobacillus	15	1	1	4	0.0	0
Acidocella	4	1	1	1	nan	1
Acidovorax	10	2	1	4	0.0	0
Acinetobacter	99	5	1	1	nan	1
Acrocarpospora	5	0	1	1	nan	1
Actibacterium	6	0	1	5	0.0	0
Actinacidiphila	15	0	1	1	nan	1
Actinoallomurus	10	1	1	1	nan	1
Actinoalloteichus	5	0	1	2	0.0	0
Actinobacillus	15	0	2	6	0.1159	0
Actinocatenispora	4	0	1	1	nan	1
Actinocorallia	5	2	1	1	nan	1
Actinokineospora	16	1	1	1	nan	1
Actinomadura	66	1	2	5	0.3775	0
Actinomyces	45	0	6	4	0.8302	0
Actinomycetospora	18	0	1	1	nan	1
Actinophytocola	6	1	1	1	nan	1
Actinoplanes	32	1	1	1	nan	1
Actinopolymorpha	5	0	1	1	nan	1
Actinopolyspora	8	1	1	1	nan	1
Actinotalea	8	2	1	1	nan	1
Actinotignum	10	1	1	1	nan	1
Acuticoccus	4	1	1	1	nan	1
Adhaeribacter	10	0	2	2	1.0	0
Adlercreutzia	11	1	2	4	0.4898	0
Advenella	5	1	1	1	nan	1
Aedoeadaptatus	6	0	1	1	nan	1
Aequorivita	21	0	1	1	nan	1
Aeribacillus	4	0	1	4	0.0	0
Aerococcus	12	1	5	1	0.0	0
Aeromicrobium	24	0	1	1	nan	1
Aeromonas	34	4	1	1	nan	1
Aestuariibaculum	4	1	1	1	nan	1
Aestuariivivens	4	0	1	1	nan	1
Affinirhizobium	6	1	1	1	nan	1
Affinundibacterium	9	0	1	1	nan	1
Afipia	7	1	1	1	nan	1
Agarivorans	5	0	1	1	nan	1
Agathobaculum	6	0	1	1	nan	1
Aggregatibacter	4	0	1	1	nan	1
Agrobacterium	17	2	1	2	0.0	0
Agrococcus	14	0	2	1	0.0	0
Agromyces	48	1	1	1	nan	1
Albidovulum	9	0	1	1	nan	1
Alcaligenes	7	1	1	1	nan	1
Alcanivorax	9	0	1	3	0.0	0
Algibacter	11	0	1	5	0.0	0
Algoriphagus	44	0	1	1	nan	1
