genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Acetivibrio	Bacteria	7	117	3	48.00	65.15	0	4	6	1	0.5946	both split	7
Acetobacter	Bacteria	37	615	1	65.58	73.31	4	1	34	3	nan	both coherent	40
Acetobacterium	Bacteria	8	1290	1	74.24	78.20	1	1	8	0	nan	both coherent	9
Acholeplasma	Bacteria	7	183	3	54.53	63.45	0	2	7	0	0.2759	both split	4
Achromobacter	Bacteria	25	1742	1	71.23	86.52	3	2	20	5	0.0	RaGCAn one bin, GTDB splits	175
Acidaminococcus	Bacteria	6	863	1	69.25	78.33	0	1	6	0	nan	both coherent	5
Acidianus	Archaea	6	987	1	66.70	75.28	1	2	6	0	0.0	RaGCAn one bin, GTDB splits	50
Acidicapsa	Bacteria	4	1526	1	70.26	72.49	0	1	3	1	nan	both coherent	6
Acidihalobacter	Bacteria	4	1173	1	68.00	75.28	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	4
Acidiphilium	Bacteria	5	1625	1	73.28	78.58	1	1	5	0	nan	both coherent	5
Acidipropionibacterium	Bacteria	5	950	1	70.24	75.58	0	2	5	0	0.0	RaGCAn one bin, GTDB splits	5
Acidisoma	Bacteria	4	2080	1	71.82	78.23	0	1	3	1	nan	both coherent	6
Acidithiobacillus	Bacteria	16	737	1	66.74	76.09	1	4	15	1	0.0	RaGCAn one bin, GTDB splits	46
Acidocella	Bacteria	5	1243	1	69.97	75.80	1	1	4	1	nan	both coherent	5
Acidovorax	Bacteria	12	1108	1	68.57	78.85	0	4	10	2	0.0	RaGCAn one bin, GTDB splits	17
Acinetobacter	Bacteria	104	580	1	67.07	76.02	21	1	99	5	nan	both coherent	297
Acrocarpospora	Bacteria	5	3847	1	79.33	84.13	0	1	5	0	nan	both coherent	14
Actibacterium	Bacteria	6	1129	1	68.55	71.30	0	5	6	0	0.0	RaGCAn one bin, GTDB splits	6
Actinacidiphila	Bacteria	15	1489	1	70.48	76.87	0	1	15	0	nan	both coherent	41
Actinoallomurus	Bacteria	11	2566	1	73.18	80.00	1	1	10	1	nan	both coherent	39
Actinoalloteichus	Bacteria	5	1578	1	66.93	74.36	0	2	5	0	0.0	RaGCAn one bin, GTDB splits	8
Actinobacillus	Bacteria	15	376	2	63.83	77.87	7	6	15	0	0.1159	both split	8
Actinocatenispora	Bacteria	4	3072	1	74.54	82.23	0	1	4	0	nan	both coherent	8
Actinocorallia	Bacteria	7	1987	1	70.37	75.00	0	1	5	2	nan	both coherent	16
Actinokineospora	Bacteria	17	1364	1	69.67	74.36	1	1	16	1	nan	both coherent	105
Actinomadura	Bacteria	67	677	2	61.27	74.87	1	5	66	1	0.3775	both split	560
Actinomyces	Bacteria	45	96	6	54.34	67.99	0	4	45	0	0.8302	both split	44
Actinomycetospora	Bacteria	18	1423	1	71.05	77.95	0	1	18	0	nan	both coherent	106
Actinophytocola	Bacteria	7	2289	1	71.50	75.89	0	1	6	1	nan	both coherent	17
Actinoplanes	Bacteria	33	1584	1	69.79	75.91	2	1	32	1	nan	both coherent	259
Actinopolymorpha	Bacteria	5	2472	1	72.19	78.80	0	1	5	0	nan	both coherent	9
Actinopolyspora	Bacteria	9	2167	1	77.25	82.63	1	1	8	1	nan	both coherent	10
Actinotalea	Bacteria	10	493	2	60.60	69.16	0	1	8	2	nan	both coherent	9
Actinotignum	Bacteria	11	574	1	66.65	90.07	28	1	10	1	nan	both coherent	6
Actomonas	Bacteria	4	1898	1	72.21	75.88	0					not scored (no GTDB data)	6
Acuticoccus	Bacteria	5	1421	1	67.03	70.47	0	1	4	1	nan	both coherent	8
Adhaeribacter	Bacteria	10	853	2	64.32	70.18	0	2	10	0	1.0	both split	14
Adlercreutzia	Bacteria	12	387	2	64.44	74.02	1	4	11	1	0.4898	both split	10
Advenella	Bacteria	6	1241	1	68.36	77.87	0	1	5	1	nan	both coherent	7
Aedoeadaptatus	Bacteria	6	754	1	68.37	76.54	1	1	6	0	nan	both coherent	4
Aequorivita	Bacteria	21	1212	1	74.24	81.07	3	1	21	0	nan	both coherent	19
Aeribacillus	Bacteria	4	900	1	65.36	68.70	0	4	4	0	0.0	RaGCAn one bin, GTDB splits	4
Aerococcus	Bacteria	13	180	6	56.08	63.10	6	1	12	1	0.0	RaGCAn split, GTDB one genus	19
Aeromicrobium	Bacteria	24	659	1	65.57	70.43	0	1	24	0	nan	both coherent	27
Aeromonas	Bacteria	38	1391	1	76.17	86.12	16	1	34	4	nan	both coherent	76
Aestuariibaculum	Bacteria	5	1742	1	76.33	82.95	0	1	4	1	nan	both coherent	6
Aestuariivivens	Bacteria	4	1773	1	78.74	80.28	0	1	4	0	nan	both coherent	5
Affinirhizobium	Bacteria	7	2112	1	76.59	80.32	1	1	6	1	nan	both coherent	10
Affinundibacterium	Bacteria	9	1810	1	75.64	81.35	1	1	9	0	nan	both coherent	10
Afipia	Bacteria	8	1417	1	71.78	78.38	0	1	7	1	nan	both coherent	9
Agarivorans	Bacteria	5	2564	1	78.75	85.33	2	1	5	0	nan	both coherent	7
Agathobaculum	Bacteria	6	1028	1	74.39	81.19	3	1	6	0	nan	both coherent	5
Aggregatibacter	Bacteria	4	1349	1	87.77	89.90	1	1	4	0	nan	both coherent	4
Agrobacterium	Bacteria	19	1496	1	69.31	83.08	4	2	17	2	0.0	RaGCAn one bin, GTDB splits	43
Agrococcus	Bacteria	14	592	2	63.02	75.30	0	1	14	0	0.0	RaGCAn split, GTDB one genus	11
