# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Absicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Absicoccus,Absicoccus
A	Acaryochloris	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Acaryochloris,RCC1774
A	Acetatifactor	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Acetatifactor,Acetatifactor
A	Acetoanaerobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Acetomicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Acidilobus	Archaea	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Acidimangrovimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Acidimangrovimonas,Acidimangrovimonas
A	Acidiplasma	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Acidiplasma,Acidiplasma
A	Actinobaculum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Actinobaculum,Actinobaculum
A	Actinospica	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Actinospineispora	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Actinosynnema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Actinosynnema,Actinosynnema
A	Acutalibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Aeoliella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Aeropyrum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Aeropyrum,Aeropyrum
A	Aestuariibius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aestuariibius,Aestuariibius
A	Aestuariimicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Aestuariirhabdus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aestuariirhabdus,Aestuariirhabdus
A	Aestuariispira	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Aestuariispira_A,Aestuariispira
A	Aetherobacter	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Afifella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Agaribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Glaciecola,Glaciecola
