# File S17. Eukaryote genomes screened with RaGCAn v3.0.0 (settings as in the bacterial survey; longest protein per gene).
# Reference genus: NCBI Taxonomy name. Predictions were recorded before any run.
# Part 0: predictions and outcomes.
prediction	statement	outcome
E1	The two Homo sapiens assemblies are >= 99.5% AAI to each other	HELD (99.92)
E2	Pan troglodytes and Pan paniscus are closer to each other than to Homo; Homo is closest to Pan	HELD (Pan-Pan 98.89; Pan-Homo 98.06; nearest to Homo: Pan)
E3	Nakaseomyces glabratus is closer to Saccharomyces cerevisiae than to Candida albicans	HELD (67.60 vs 57.19)
E4	At 65% the Candida genomes share no bin with any Saccharomycetaceae genome	HELD (own bin; <= 57.91 to any other yeast)
E5	Scaptodrosophila lebanonensis is further from every Drosophila genome than any two Drosophila genomes are from each other	FAILED (73.32-75.06 to Drosophila; 342 of 861 Drosophila pairs below 75.06)
E6	The three Caenorhabditis genomes form one bin at 65%	HELD (77.04-78.10)
# Part A: every genome with its bin at 65% AAI.
set	organism	accession	ncbi_genus	bin_at_65
yeasts	Kazachstania africana CBS 2517	GCF_000304475.1	Kazachstania	1
yeasts	Nakaseomyces bracarensis	GCF_045282275.1	Nakaseomyces	1
yeasts	Nakaseomyces glabratus	GCF_010111755.1	Nakaseomyces	1
yeasts	Naumovozyma castellii	GCF_000237345.1	Naumovozyma	1
yeasts	Naumovozyma dairenensis CBS 421	GCF_000227115.2	Naumovozyma	1
yeasts	Saccharomyces cerevisiae S288C	GCF_000146045.2	Saccharomyces	1
yeasts	Saccharomyces eubayanus	GCF_001298625.1	Saccharomyces	1
yeasts	Saccharomyces kudriavzevii IFO 1802	GCF_947243775.1	Saccharomyces	1
yeasts	Saccharomyces mikatae IFO 1815	GCF_947241705.1	Saccharomyces	1
yeasts	Saccharomyces paradoxus	GCF_002079055.1	Saccharomyces	1
yeasts	Kluyveromyces lactis	GCF_000002515.2	Kluyveromyces	2
yeasts	Kluyveromyces marxianus DMKU3-1042	GCF_001417885.1	Kluyveromyces	2
yeasts	Lachancea lanzarotensis	GCF_000938715.1	Lachancea	2
yeasts	Lachancea thermotolerans CBS 6340	GCF_000142805.1	Lachancea	2
yeasts	Candida albicans SC5314	GCF_000182965.3	Candida	3
yeasts	Candida dubliniensis CD36	GCF_000026945.1	Candida	3
yeasts	Candida tropicalis MYA-3404	GCF_000006335.3	Candida	3
yeasts	Eremothecium cymbalariae DBVPG#7215	GCF_000235365.1	Eremothecium	4
yeasts	Eremothecium gossypii ATCC 10895	GCF_000091025.4	Eremothecium	4
yeasts	Eremothecium sinecaudum	GCF_001548555.1	Eremothecium	4
yeasts	Torulaspora delbrueckii	GCF_000243375.1	Torulaspora	5
yeasts	Torulaspora globosa	GCF_014133895.1	Torulaspora	5
yeasts	Zygosaccharomyces rouxii	GCF_000026365.1	Zygosaccharomyces	5
yeasts	Tetrapisispora phaffii CBS 4417	GCF_000236905.1	Tetrapisispora	6
yeasts	Vanderwaltozyma polyspora DSM 70294	GCF_000150035.1	Vanderwaltozyma	6
caenorhabditis	Caenorhabditis briggsae	GCF_000004555.2	Caenorhabditis	1
caenorhabditis	Caenorhabditis elegans	GCF_000002985.6	Caenorhabditis	1
caenorhabditis	Caenorhabditis remanei	GCF_010183535.1	Caenorhabditis	1
drosophila	Drosophila albomicans	GCF_009650485.2	Drosophila	1
drosophila	Drosophila ananassae	GCF_017639315.1	Drosophila	1
drosophila	Drosophila arizonae	GCF_001654025.1	Drosophila	1
