# Every genome screened, one row per genome. 20,434 prokaryote genomes (one per named species)
# plus the 88 eukaryote genomes. ftp_path is the NCBI directory the protein file was taken from:
# <ftp_path>/<basename>_protein.faa.gz. The genome page is https://www.ncbi.nlm.nih.gov/datasets/genome/<accession>/
screen	genus	species	accession	organism_name	refseq_category	assembly_level	protein_coding_genes	ftp_path
survey (4+ species)	Acetivibrio	Acetivibrio cellulolyticus	GCF_000179595.2	Acetivibrio cellulolyticus CD2	reference genome	Scaffold	5002	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/595/GCF_000179595.2_ASM17959v2
survey (4+ species)	Acetivibrio	Acetivibrio clariflavus	GCF_000237085.1	Acetivibrio clariflavus DSM 19732	reference genome	Complete Genome	4016	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/085/GCF_000237085.1_ASM23708v1
survey (4+ species)	Acetivibrio	Acetivibrio ethanolgignens	GCF_001461035.1	Acetivibrio ethanolgignens	reference genome	Scaffold	3569	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/035/GCF_001461035.1_ASM146103v1
survey (4+ species)	Acetivibrio	Acetivibrio mesophilus	GCF_004102745.1	Acetivibrio mesophilus	reference genome	Contig	3381	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/102/745/GCF_004102745.1_ASM410274v1
survey (4+ species)	Acetivibrio	Acetivibrio saccincola	GCF_002844395.1	Acetivibrio saccincola	reference genome	Complete Genome	3176	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/395/GCF_002844395.1_ASM284439v1
survey (4+ species)	Acetivibrio	Acetivibrio straminisolvens	GCF_055386145.1	Acetivibrio straminisolvens	reference genome	Complete Genome	3333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/386/145/GCF_055386145.1_ASM5538614v1
survey (4+ species)	Acetivibrio	Acetivibrio thermocellus	GCF_000015865.1	Acetivibrio thermocellus ATCC 27405	reference genome	Complete Genome	3271	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/865/GCF_000015865.1_ASM1586v1
survey (4+ species)	Acetobacter	Acetobacter aceti	GCF_004341595.1	Acetobacter aceti NBRC 14818	reference genome	Contig	3240	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/341/595/GCF_004341595.1_ASM434159v1
survey (4+ species)	Acetobacter	Acetobacter ascendens	GCF_002173775.1	Acetobacter ascendens	reference genome	Complete Genome	2957	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/173/775/GCF_002173775.1_ASM217377v1
survey (4+ species)	Acetobacter	Acetobacter cerevisiae	GCF_965286365.1	Acetobacter cerevisiae	reference genome	Complete Genome	2863	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/286/365/GCF_965286365.1_ACVUBH039E5_assembly
survey (4+ species)	Acetobacter	Acetobacter cibinongensis	GCF_000963925.1	Acetobacter cibinongensis	reference genome	Contig	2721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/925/GCF_000963925.1_ASM96392v1
survey (4+ species)	Acetobacter	Acetobacter conturbans	GCF_011516755.1	Acetobacter conturbans	reference genome	Contig	3367	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/755/GCF_011516755.1_ASM1151675v1
survey (4+ species)	Acetobacter	Acetobacter estunensis	GCF_011516945.1	Acetobacter estunensis	reference genome	Contig	3188	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/945/GCF_011516945.1_ASM1151694v1
